SoftInfo1,SoftInfo2,similarity
HO-3,VS-0,0.36771488469601676
VS-0,HO-3,0.36771488469601676
AS-1,HO-2,0.3624314442413163
HO-2,AS-1,0.3624314442413163
EL-0,HO-2,0.34910457660844574
HO-2,EL-0,0.34910457660844574
EL-2,HO-3,0.2945623018775908
HO-3,EL-2,0.2945623018775908
HO-2,VS-1,0.289522484932777
VS-1,HO-2,0.289522484932777
EL-2,VS-0,0.261296211775445
VS-0,EL-2,0.261296211775445
HO-2,VS-0,0.25955621853440236
VS-0,HO-2,0.25955621853440236
AS-1,VS-0,0.24874055415617127
VS-0,AS-1,0.24874055415617127
EL-1,VS-0,0.2399645154136172
VS-0,EL-1,0.2399645154136172
EL-1,HO-3,0.23488853137209836
HO-3,EL-1,0.23488853137209836
EL-0,VS-0,0.23134479271991912
VS-0,EL-0,0.23134479271991912
EL-1,HO-2,0.22545375027334355
HO-2,EL-1,0.22545375027334355
EL-0,VS-1,0.22394401399650088
VS-1,EL-0,0.22394401399650088
AS-1,EL-0,0.22140221402214022
EL-0,AS-1,0.22140221402214022
AS-1,EL-1,0.2190040650406504
EL-1,AS-1,0.2190040650406504
AS-1,VS-1,0.20095935369856097
VS-1,AS-1,0.20095935369856097
EL-1,VS-1,0.19149512459371615
VS-1,EL-1,0.19149512459371615
AS-1,EL-2,0.19004524886877827
EL-2,AS-1,0.19004524886877827
AS-3,HO-3,0.18924191750278707
HO-3,AS-3,0.18924191750278707
EL-0,VS-2,0.18917410714285715
VS-2,EL-0,0.18917410714285715
EL-0,HO-3,0.18654001616814875
HO-3,EL-0,0.18654001616814875
HO-2,VS-2,0.17753882915173239
VS-2,HO-2,0.17753882915173239
AS-1,VS-2,0.16936170212765958
VS-2,AS-1,0.16936170212765958
AS-1,HO-3,0.16911464708282334
HO-3,AS-1,0.16911464708282334
HO-3,VS-2,0.16608738828202582
VS-2,HO-3,0.16608738828202582
AS-0,HO-2,0.16255040322580644
HO-2,AS-0,0.16255040322580644
EL-2,HO-2,0.16240033571128829
HO-2,EL-2,0.16240033571128829
AS-2,HO-3,0.1588477366255144
HO-3,AS-2,0.1588477366255144
HO-3,VS-1,0.15862668405041286
VS-1,HO-3,0.15862668405041286
AS-4,HO-3,0.1575081610446137
HO-3,AS-4,0.1575081610446137
EL-2,VS-1,0.15323224261771748
VS-1,EL-2,0.15323224261771748
AS-0,VS-0,0.14456332421000248
VS-0,AS-0,0.14456332421000248
AS-3,VS-0,0.13774733637747336
VS-0,AS-3,0.13774733637747336
AS-4,VS-0,0.1361442722885446
VS-0,AS-4,0.1361442722885446
AS-0,EL-0,0.1358273381294964
EL-0,AS-0,0.1358273381294964
AS-4,EL-0,0.13454113454113453
EL-0,AS-4,0.13454113454113453
AS-2,VS-0,0.13432073544433096
VS-0,AS-2,0.13432073544433096
EL-2,VS-2,0.1332312404287902
VS-2,EL-2,0.1332312404287902
AS-0,VS-1,0.129973474801061
VS-1,AS-0,0.129973474801061
EL-1,VS-2,0.12931293129312932
VS-2,EL-1,0.12931293129312932
AS-3,EL-2,0.12914364640883977
EL-2,AS-3,0.12914364640883977
AS-0,EL-2,0.1272061272061272
EL-2,AS-0,0.1272061272061272
AS-2,EL-0,0.12533412533412533
EL-0,AS-2,0.12533412533412533
AS-0,HO-3,0.12503209242618743
AS-0,EL-1,0.12199089134677944
EL-1,AS-0,0.12199089134677944
AS-3,EL-0,0.12014030985092078
EL-0,AS-3,0.12014030985092078
AS-4,VS-1,0.11674608577263444
VS-1,AS-4,0.11674608577263444
AS-2,EL-2,0.11314246291824767
EL-2,AS-2,0.11314246291824767
AS-2,VS-1,0.11301369863013698
VS-1,AS-2,0.11301369863013698
AS-4,EL-1,0.11140849782535965
EL-1,AS-4,0.11140849782535965
AS-3,EL-1,0.10948419301164726
EL-1,AS-3,0.10948419301164726
AS-2,EL-1,0.10808080808080808
EL-1,AS-2,0.10808080808080808
AS-4,EL-2,0.10740992522093813
EL-2,AS-4,0.10740992522093813
AS-3,VS-1,0.10689075630252101
VS-1,AS-3,0.10689075630252101
AS-3,VS-2,0.1051975051975052
VS-2,AS-3,0.1051975051975052
AS-0,VS-2,0.10170838299562972
VS-2,AS-0,0.10170838299562972
AS-2,HO-2,0.09972846210812145
HO-2,AS-2,0.09972846210812145
AS-4,HO-2,0.09574987787005373
HO-2,AS-4,0.09574987787005373
AS-4,VS-2,0.09203466776723071
VS-2,AS-4,0.09203466776723071
AS-2,VS-2,0.08958333333333333
VS-2,AS-2,0.08958333333333333
AS-4,HO-1,0.08652575957727873
HO-1,AS-4,0.08652575957727873
AS-3,HO-2,0.08621106013040328
HO-1,VS-1,0.07674050632911393
HO-1,EL-0,0.06918032786885246
HO-1,EL-2,0.06679841897233202
HO-1,VS-2,0.06642820643842616
HO-1,EL-1,0.06269230769230769
HO-1,VS-0,0.05926928281461434
AS-2,HO-1,0.054901960784313725
HO-1,AS-2,0.054901960784313725
AS-0,HO-1,0.05413444378346222
HO-1,AS-0,0.05413444378346222
AS-1,HO-1,0.05403579871664978
HO-1,AS-1,0.05403579871664978
AS-3,HO-1,0.048734177215189876
AS-0,HO-0,0.003249390739236393
HO-0,AS-0,0.003249390739236393
AS-2,HO-4,0.0027881040892193307
HO-4,AS-2,0.0027881040892193307
HO-4,AS-0,0.0016194331983805667
HO-4,EL-2,0.0013882461823229986
HO-0,VS-1,0.001374885426214482
HO-4,VS-1,0.0013736263736263737
HO-4,EL-1,0.001348314606741573
HO-4,VS-2,0.0012903225806451613
HO-0,EL-0,0.0011025358324145535
HO-0,AS-2,0.0009293680297397769
HO-0,EL-2,0.000925925925925926
AS-3,HO-4,0.0008920606601248885
HO-4,AS-3,0.0008920606601248885
HO-0,VS-0,0.0008891523414344991
HO-4,VS-0,0.0008886255924170616
AS-1,HO-4,0.0007739938080495357
HO-4,AS-1,0.0007739938080495357
HO-4,EL-0,0.0007342143906020558
HO-0,EL-1,0.00044943820224719103
HO-0,AS-1,0.00038714672861014324